about : 161次
refreshing : 2次
pressures : 2次
countryside : 2次
election : 2次
explicitly : 2次
labour : 2次
discontinue : 2次
struck : 2次
houses, : 2次
factories : 2次
area : 2次
talk. : 2次
pressure, : 2次
favours : 2次
grow. : 2次
europe’s : 2次
enviable : 2次
sentiment : 2次
till : 2次
[b]has : 2次
[d]is : 2次
protected. : 2次
3? : 2次
abandon : 2次
conservation. : 2次
osborne’s : 2次
disregard : 2次
milton : 2次
“that : 2次
waste : 2次
absolutely : 2次
prosecuted : 2次
third, : 2次
diffuse : 2次
whereby : 2次
affected : 2次
practices : 2次
company's : 2次
merits, : 2次
"we : 2次
eliminating : 2次
labour-rights : 2次
concern, : 2次
labour, : 2次
fines : 2次
40% : 2次
bribing : 2次
officials," : 2次
researcher. : 2次
admit : 2次
do-gooding : 2次
whencompanies : 2次
costly : 2次
views : 2次
guarding : 2次
investigation. : 2次
overlooked. : 2次
publish : 2次
newsprint : 2次
aside : 2次
online-only : 2次
buzzfeed : 2次
shouldn't : 2次
transition : 2次
“he : 2次
pick : 2次
goes, : 2次
"so : 2次
print, : 2次
essentially : 2次
tremendous : 2次
"but : 2次
situations, : 2次
aggressive : 2次
complaints : 2次
that,in : 2次
sources : 2次
38.it : 2次
restore : 2次
glory : 2次
customers. : 2次
outdated : 2次
facilitates : 2次
problem-solving. : 2次
meets : 2次
40.which : 2次
fist : 2次
dress : 2次
seems, : 2次
pull : 2次
enhances : 2次
i’ve : 2次
trusted : 2次
cues : 2次
maybe : 2次
upgrade : 2次
hoping : 2次
image. : 2次
moving : 2次
ok : 2次
norms : 2次
conveys : 2次
context. : 2次
hire : 2次
pionts) : 2次
heal : 2次
mend : 2次
nutrition : 2次
temporarily : 2次
perspective : 2次
laugh : 2次
innate : 2次
optimism. : 2次
kindness : 2次
managing : 2次
easier. : 2次
patience : 2次
perfectly : 2次
decisions. : 2次
bad, : 2次
inner : 2次
thought. : 2次
librarian : 2次
newly-enrolled : 2次
library. : 2次
points） : 2次
…。 : 2次
上下文语义及动词义辨析 : 2次
overshadowed : 2次
【解析】细节题 : 2次
与 : 2次
51、 : 2次
august : 2次
beijing : 2次
materials : 2次
extra-curricular : 2次
52、 : 2次
supervising : 2次
wears : 2次
depicts : 2次
drawer : 2次
utmost : 2次
carries : 2次
overwhelmingly : 2次
teenagers : 2次
implication : 2次
thought-provoking : 2次
hand， : 2次
advisable : 2次
attach : 2次
biologically : 2次
1% : 2次
strangers. : 2次
“most : 2次
select : 2次
similarity : 2次
remarkable : 2次
picked : 2次
30,000 : 2次
advised : 2次
separated : 2次
incredible : 2次
resemble : 2次
[d]like : 2次
[b]responses : 2次
disruptive : 2次
ethnic : 2次
king : 2次
juan : 2次
carlos : 2次
scandals : 2次
euro-elections : 2次
voters : 2次
kings : 2次
unity : 2次
be, : 2次
behave : 2次
rising : 2次
bizarre : 2次
come, : 2次
example. : 2次
monarchy’s : 2次
style. : 2次
charles, : 2次
taste : 2次
reign : 2次
embarrassment : 2次
owing : 2次
undoubted : 2次
reliance : 2次
democracies : 2次
rough : 2次
republicans : 2次
adapt : 2次
disgrace : 2次
anxious : 2次
react : 2次
arrest. : 2次
upsets : 2次
hard, : 2次
judges : 2次
technologies. : 2次
followed : 2次
discarding : 2次
lame : 2次
warrant. : 2次
home. : 2次
contain : 2次
documents : 2次
protected : 2次
principle : 2次
ease : 2次
contents. : 2次
invalidate : 2次
altered : 2次
entitled : 2次
freedom. : 2次
orin : 2次
explosion : 2次
virtual : 2次
specify : 2次
car : 2次
phones. : 2次
indifference. : 2次
tolerance. : 2次
action. : 2次
citizens’ : 2次
implemented : 2次
mistakes : 2次
flagged : 2次
journal’s : 2次
editors, : 2次
said: : 2次
broadly : 2次
member : 2次
publications : 2次
ioannidis, : 2次
nowadays, : 2次
review. : 2次
cell : 2次
tougher : 2次
verify : 2次
vaux : 2次
“has : 2次
merit, : 2次
scrutiny’ : 2次
place”. : 2次
analysis. : 2次
pose : 2次
circulation. : 2次
journals. : 2次
researchers’ : 2次
improvement. : 2次
joins : 2次
push : 2次
papers. : 2次
profit : 2次
,we : 2次
”. : 2次
dangerous : 2次
trial : 2次
andy : 2次
innocent : 2次
standstill, : 2次
hired : 2次
hacking. : 2次
await : 2次
wow : 2次
core : 2次
accountable : 2次
doctrine : 2次
profit. : 2次
shareholder : 2次
newspapers, : 2次
humanity. : 2次
stories, : 2次
answers. : 2次
governmental : 2次
trivial : 2次
distorted : 2次
exciting : 2次
grammar : 2次
indicated : 2次
assimilation : 2次
invited : 2次
presenting : 2次
reflects : 2次
discussion : 2次
other, : 2次
textual : 2次
respond : 2次
ethnicity, : 2次
guess : 2次
contest. : 2次
inferences, : 2次
you, : 2次
ascribe : 2次
interaction : 2次
contextual : 2次
structures : 2次
span : 2次
folk : 2次
driven : 2次
principal : 2次
modified : 2次
atlantic : 2次
transplant : 2次
continent : 2次
bound : 2次
west : 2次
craft. : 2次
ships : 2次
extended : 2次
fuel : 2次
session. : 2次
book, : 2次
seventh : 2次
philosophy : 2次
listening, : 2次
sitting : 2次
gathering : 2次
caption : 2次
cartoon, : 2次
contemporary : 2次
addiction : 2次
touch : 2次
face-to-face : 2次
communication. : 2次
uncommon : 2次
walking : 2次
movies, : 2次
internet, : 2次
on, : 2次
refer : 2次
occurrences : 2次
seemingly : 2次
social, : 2次
muscles : 2次
brain. : 2次
fluctuate : 2次
web-based : 2次
regain : 2次
strengths : 2次
a(n) : 2次
muscle : 2次
use. : 2次
[a]to : 2次
chancellor : 2次
jobcentre : 2次
allowance. : 2次
help? : 2次
better, : 2次
laziness. : 2次
minimal : 2次
extraordinarily : 2次
get. : 2次
wanted; : 2次
worse, : 2次
disappeared. : 2次
fall : 2次
dependency : 2次
1996 : 2次
actively : 2次
seeking. : 2次
“to : 2次
[c]an : 2次
[d]a : 2次
fairness : 2次
unemployment. : 2次
met : 2次
needs. : 2次
exception : 2次
grounds : 2次
complaint : 2次
grew : 2次
inflation. : 2次
skyscrapers-full : 2次
money, : 2次
tempting : 2次
pile : 2次
schools. : 2次
path : 2次
four-year : 2次
$100,000 : 2次
non-profit : 2次
reforming : 2次
state-level : 2次
govern : 2次
sit : 2次
truly : 2次
would-be : 2次
lawyer, : 2次
district : 2次
columbia, : 2次
firm. : 2次
outsiders : 2次
isolates : 2次
allowing : 2次
customers, : 2次
encouraging : 2次
firms’ : 2次
britain, : 2次
started : 2次
rewards. : 2次
studies. : 2次
association. : 2次
major. : 2次
governing : 2次
lawyers. : 2次
outsiders’ : 2次
involvement : 2次
profits. : 2次
discusses : 2次
experiment, : 2次
string : 2次
joined : 2次
prizes : 2次
fields, : 2次
entrepreneurs : 2次
achievement-based : 2次
quo : 2次
peer-reviewed : 2次
pointed : 2次
row : 2次
higgs : 2次
wise : 2次
prizes. : 2次
bankers’ : 2次
handsome : 2次
demonstration : 2次
[a]their : 2次
endurance : 2次
[b]their : 2次
dispute. : 2次
[c]they : 2次
deserves : 2次
praise : 2次
democracy : 2次
regrettably, : 2次
report’s : 2次
good. : 2次
governments, : 2次
foundations, : 2次
educators, : 2次
response, : 2次
51 : 2次
scholars, : 2次
lawyers, : 2次
judges, : 2次
informed : 2次
solve : 2次
colleges : 2次
ignores : 2次
inquiry : 2次
routinely : 2次
treat : 2次
portraying : 2次
ideas—such : 2次
falling : 2次
boundaries : 2次
routine, : 2次
legitimate, : 2次
obscuring : 2次
aaas’s : 2次
report? : 2次
exclusive : 2次
languages : 2次
boxes. : 2次
placed : 2次
athens, : 2次
norm. : 2次
digging : 2次
surface : 2次
survey : 2次
terrain : 2次
settlement : 2次
aerial : 2次
photographs : 2次
resulting : 2次
maps : 2次
sites, : 2次
equipment : 2次
archaeologist : 2次
carter : 2次
tomb : 2次
sir : 2次
attributed : 2次
interpretations : 2次
computers : 2次
moments : 2次
exclusively : 2次
sound. : 2次
freed : 2次
hitherto : 2次
conventions : 2次
harmony : 2次
abrupt : 2次
piano : 2次
performance, : 2次
intense : 2次
passage : 2次
him. : 2次
deeply : 2次
freedom, : 2次
individual: : 2次
ignoring : 2次
development, : 2次
greek : 2次
condition. : 2次
上下文语义和动词辨析 : 2次
这四个选项均为名词。[a] : 2次
hold, : 2次
【答案】[a]a : 2次
【答案】[d]the : 2次
"federal, : 2次
others" : 2次
“in : 2次
【答案】[f] : 2次
student’s : 2次
proposals : 2次
organize : 2次
ball : 2次
basketball : 2次
honor : 2次
road : 2次
nowadays : 2次
prime : 2次
aged : 2次
arm : 2次
supporting : 2次
sons : 2次
cultivation : 2次
elders, : 2次
punish : 2次
unbiased : 2次
speculated : 2次
with. : 2次
theory, : 2次
9 : 2次
day, : 2次
31 : 2次
test, : 2次
her. : 2次
grant : 2次
exceptional : 2次
defensible : 2次
replaceable : 2次
float : 2次
unattractive : 2次
imagining : 2次
priestly : 2次
bargain : 2次
odds : 2次
elizabeth : 2次
cline’s : 2次
indictment : 2次
mass-market : 2次
h&m, : 2次
style-conscious : 2次
renew : 2次
on-trend : 2次
brands : 2次
cycles, : 2次
shaking : 2次
seasonal : 2次
labor, : 2次
resources, : 2次
michael : 2次
food, : 2次
hunger : 2次
roughly : 2次
who, : 2次
knocked : 2次
off. : 2次
energy. : 2次
vanity : 2次
constant; : 2次
sustainably : 2次
criticizes : 2次
bargaining : 2次
combat : 2次
shop : 2次
frequently. : 2次
accusation. : 2次
purchasing. : 2次
fraction : 2次
“behavioural” : 2次
assume : 2次
tracked : 2次
(ftc) : 2次
users : 2次
explorer : 2次
cracking : 2次
microsoft : 2次
windows : 2次
respond. : 2次
anyway. : 2次
default : 2次
count : 2次
brendon : 2次
simple? : 2次
operational : 2次
refers : 2次
browser : 2次
developers : 2次
bob : 2次
obliged : 2次
author's : 2次
lynch : 2次
fulfillment : 2次
deeper : 2次
epidemic : 2次
change. : 2次
homo : 2次
sapiens : 2次
"red : 2次
list" : 2次
(iucn) : 2次
currently : 2次
clock : 2次
willfully : 2次
lengthy : 2次
timescales : 2次
consequences, : 2次
dazzlingly : 2次
futurologists : 2次
envisage. : 2次
arc, : 2次
future: : 2次
passing : 2次
sustained : 2次
threaten : 2次
5? : 2次
conceive. : 2次
optimistic : 2次
ambition : 2次
mankind : 2次
victory : 2次
obama : 2次
8-0 : 2次
ran : 2次
anthony : 2次
powers. : 2次
however,the : 2次
envisioned : 2次
alito : 2次
logic : 2次
conflicted : 2次
antonin : 2次
sedition : 2次
assertion : 2次
belong : 2次
congress’s : 2次
disturbed : 2次
interests. : 2次
outweighs : 2次
dependent : 2次
laws. : 2次
congress. : 2次
blank. : 2次
fields : 2次
social-science : 2次
engineered : 2次
,the : 2次
focused : 2次
scholarly : 2次
topics : 2次
projects : 2次
considers : 2次
goal. : 2次
root : 2次
arise : 2次
strikes : 2次
diversity : 2次
turning : 2次
need. : 2次
composure : 2次
segment : 2次
stand. : 2次
demoralization : 2次
vanish : 2次
pool : 2次
level, : 2次
e-mail : 2次
teacher : 2次
inviting : 2次
him/her : 2次
为正确答案。 : 2次
后置定语 : 2次
stupid : 2次
14.【答案】 : 2次
上下文语义和逻辑关系 : 2次
anyway.” : 2次
【解析】主旨题 : 2次
students, : 2次
library, : 2次
technology. : 2次
lifting : 2次
pursuing : 2次
message: : 2次
economically : 2次
college, : 2次
concerned, : 2次
decisive : 2次
discussed : 2次
guardian : 2次
impartial. : 2次
judgments. : 2次
rest : 2次
choices : 2次
[a]by : 2次
sex. : 2次
cure, : 2次
haze : 2次
lovelife : 2次
recruits : 2次
sex : 2次
different, : 2次
pleads : 2次
reducing : 2次
convincingly : 2次
public-health : 2次
advertisers, : 2次
detail : 2次
long. : 2次
via : 2次
pressure: : 2次
certain, : 2次
tactic : 2次
school, : 2次
supplement : 2次
behaviors : 2次
recruit : 2次
advertisers’ : 2次
advertisements : 2次
probe : 2次
flaws : 2次
functions : 2次
[d]produce : 2次
desirable : 2次
profound : 2次
questionable : 2次
provoked : 2次
yankee : 2次
move. : 2次
corporation : 2次
bought : 2次
aging : 2次
operate : 2次
requiring : 2次
extension : 2次
plant’s : 2次
license : 2次
next. : 2次
misleading : 2次
behavior, : 2次
2002 : 2次
agreement : 2次
power, : 2次
precedent-setting : 2次
patchwork : 2次
regulations : 2次
damaged : 2次
noting : 2次
consequences. : 2次
trust. : 2次
pilgrim : 2次
application, : 2次
plant. : 2次
promises. : 2次
mature : 2次
nrc : 2次
damaged. : 2次
complicated : 2次
objective, : 2次
mining : 2次
claims, : 2次
anyone, : 2次
anywhere, : 2次
involved : 2次
individual’s : 2次
surprisingly, : 2次
discoveries : 2次
modification : 2次
novelty : 2次
albert : 2次
everybody : 2次
nobody : 2次
end, : 2次
other’s : 2次
attracted : 2次
test? : 2次
belonged : 2次
union; : 2次
36% : 2次
bright : 2次
well-educated. : 2次
quarter : 2次
party, : 2次
implies, : 2次
votes : 2次
institute : 2次
teachers’ : 2次
schools, : 2次
care. : 2次
holidays : 2次
pensions : 2次
vigorously : 2次
wisconsin : 2次
suffer : 2次
achievers. : 2次
fat : 2次
enlarged : 2次
membership. : 2次
actions. : 2次
fighting : 2次
increased. : 2次
barrier : 2次
[d]are : 2次
realise : 2次
dream : 2次
true. : 2次
saw : 2次
radio, : 2次
mail : 2次
serves : 2次
mode : 2次
mode. : 2次
downloading. : 2次
architecture : 2次
download : 2次
remains, : 2次
uploading : 2次
content, : 2次
remaining : 2次
hardest : 2次
asks : 2次
ultimately : 2次
skills, : 2次
billions : 2次
motion : 2次
darwinian : 2次
bind : 2次
explicatory : 2次
impulse : 2次
unification : 2次
generative : 2次
rituals : 2次
sexual : 2次
customs : 2次
governed : 2次
filter : 2次
arose : 2次
traits : 2次
check. : 2次
gray : 2次
initiated : 2次
quickly. : 2次
(particularly : 2次
predicts : 2次
relations. : 2次
borne : 2次
to” : 2次
12.【答案】[c] : 2次
15.【答案】[a] : 2次
16.【答案】[c] : 2次
17.【答案】[a] : 2次
18.【答案】[c] : 2次
20.【答案】[d] : 2次
21.【答案】[d] : 2次
【解析】复现结构定位法 : 2次
freely : 2次
wine : 2次
everywhere : 2次
bodily : 2次
contrary, : 2次
laughing : 2次
oxygen : 2次
cry : 2次
sadness : 2次
funny : 2次
brief : 2次
favorable, : 2次
tommasini, : 2次
times, : 2次
musician : 2次
him.” : 2次
musicians : 2次
substitute : 2次
compete : 2次
theater : 2次
cheap, : 2次
everywhere, : 2次
markedly : 2次
difference? : 2次
orchestra’s : 2次
repertoire : 2次
succeed, : 2次
oldest : 2次
audience : 2次
quality. : 2次
covered : 2次
feels : 2次
liam : 2次
departed : 2次
surprisingly : 2次
up. : 2次
cloaking : 2次
exit : 2次
excuses, : 2次
running : 2次
“very : 2次
group, : 2次
lined : 2次
avon : 2次
succession : 2次
letting : 2次
reputations. : 2次
chiefs : 2次
up, : 2次
headhunters : 2次
adhered : 2次
dennis : 2次
ceo. : 2次
2005 : 2次
later. : 2次
fundamentally : 2次
who’ve : 2次
stayed : 2次
spurred : 2次
relations : 2次
4) : 2次
cling : 2次
posts. : 2次
[c]top : 2次
stick : 2次
longer. : 2次
exploit : 2次
alternative : 2次
sending : 2次
site. : 2次
marketer’s : 2次
engines : 2次
complementary : 2次
networks, : 2次
originally : 2次
happens, : 2次
products, : 2次
risk. : 2次
quick : 2次
“earned” : 2次
e-mails : 2次
invite : 2次
conflicts : 2次
fiercer : 2次
media.[b] : 2次
persuading : 2次
boycotting : 2次
cooperating : 2次
dominance : 2次
redefine : 2次
happiness: : 2次
moment-to-moment : 2次
joy, : 2次
past-tense : 2次
moods : 2次
gratification : 2次
baby : 2次
week. : 2次
sandra : 2次
news. : 2次
practically : 2次
persistently : 2次
celebrates : 2次
regrets : 2次
folks : 2次
kid : 2次
on; : 2次
stress-free, : 2次
happiness-enhancing : 2次
subconscious : 2次
pregnant : 2次
entertaining. : 2次
valued : 2次
constantly : 2次
glamour : 2次
rearing. : 2次
intensifies : 2次
dissatisfaction : 2次
g : 2次
professionalism : 2次
can, : 2次
out, : 2次
nine : 2次
undergraduates : 2次
equally : 2次
courses : 2次
liberal-arts : 2次
1990, : 2次
faculty : 2次
acquisition : 2次
knowledge. : 2次
alter : 2次
detached : 2次
marketplace : 2次
ideas: : 2次
robots : 2次
nature. : 2次
thoughts : 2次
continually : 2次
“why : 2次
attract : 2次
achievement : 2次
rationalization : 2次
exploitation, : 2次
superiority : 2次
inferiority : 2次
“wronged” : 2次
person’s : 2次
gift : 2次
contained : 2次
us; : 2次
limitations, : 2次
2.【答案】[d] : 2次
4.【答案】[b] : 2次
6.【答案】[b] : 2次
9.【答案】[c] : 2次
15.【答案】[b] : 2次
【解析】词义辨析题。a. : 2次
reacted : 2次
19.【答案】[a] : 2次
干扰选项：[a] : 2次
that… : 2次
to… : 2次
situation, : 2次
51.小作文 : 2次
conducive : 2次
审题谋篇 : 2次
写作技巧 : 2次
52.大作文 : 2次
terrible : 2次
illustrates : 2次
tourists : 2次
boat : 2次
rubbish : 2次
scenes : 2次
strong. : 2次
propaganda : 2次
workers' : 2次
productivity. : 2次
"hawthorne : 2次
extremely : 2次
experimented : 2次
experiments, : 2次
seemed : 2次
decades, : 2次
monday, : 2次
大18家, : 2次
extracted : 2次
requirements : 2次
consequence : 2次
tended : 2次
english-language : 2次
big-city : 2次
newspapers. : 2次
collections : 2次
reviews. : 2次
marvel : 2次
dailies. : 2次
length : 2次
shaw : 2次
about. : 2次
“so : 2次
literary : 2次
newman : 2次
term : 2次
contempt : 2次
virtually : 2次
solely : 2次
england’s : 2次
specialists. : 2次
disappeared : 2次
suitability : 2次
elaborate : 2次
contemptible : 2次
paragraphs? : 2次
allocation : 2次
patented : 2次
technique : 2次
so-called : 2次
approving : 2次
300 : 2次
questioned : 2次
granting : 2次
practice. : 2次
bilski : 2次
market. : 2次
heard : 2次
three, : 2次
holders : 2次
looming : 2次
tipping : 2次
point, : 2次
influentials, : 2次
sounding : 2次
untested : 2次
else. : 2次
stems : 2次
network : 2次
populations : 2次
populations, : 2次
citing : 2次
spreading : 2次
won : 2次
element : 2次
bankers : 2次
blaming : 2次
standard-setters. : 2次
rules, : 2次
moan : 2次
banks, : 2次
fair. : 2次
pay, : 2次
banks' : 2次
toxic : 2次
"not : 2次
illiquidity : 2次
dead : 2次
sell : 2次
booking : 2次
dealt : 2次
attractive. : 2次
fasb : 2次
options : 2次
revival : 2次
denied : 2次
sale : 2次
total : 2次
35 : 2次
percent. : 2次
europe's : 2次
grocery : 2次
profitable : 2次
trade, : 2次
flexible : 2次
scale, : 2次
profits : 2次
abilities : 2次
germany, : 2次
italy, : 2次
operators : 2次
machines : 2次
catering : 2次
margins : 2次
biotic : 2次
insects : 2次
biologists : 2次
somewhat : 2次
worded : 2次
killing : 2次
physically : 2次
species. : 2次
forestry : 2次
ecologically : 2次
advanced, : 2次
non-commercial : 2次
such, : 2次
sum : 2次
self-interest : 2次
ignore, : 2次
eliminate, : 2次
functioning. : 2次
conference : 2次
globalization, : 2次
anshwer : 2次
1.【答案】[a] : 2次
5.【答案】[c] : 2次
8.【答案】[a] : 2次
【解析】见第8题解析。 : 2次
14.【答案】[d] : 2次
49. : 2次
审题谋篇： : 2次
参考范文： : 2次
integration : 2次
last, : 2次
strictly : 2次
includes : 2次
fruit-fly : 2次
carl : 2次
flies : 2次
smarter : 2次
fly : 2次
shorter : 2次
bulbs : 2次
longer, : 2次
bright. : 2次
大8家. : 2次
met. : 2次
大14家, : 2次
patience, : 2次
faithfulness, : 2次
is. : 2次
stabler : 2次
lighter : 2次
spontaneous : 2次
indefinite : 2次
backward : 2次
influences : 2次
deliver : 2次
instance : 2次
moderate : 2次
overcome : 2次
accident : 2次
mindlessly, : 2次
auto-pilot : 2次
choice, : 2次
unreflecting : 2次
paradoxical : 2次
paths, : 2次
cells, : 2次
trains : 2次
tracks. : 2次
bother : 2次
habits; : 2次
ruts : 2次
procedure : 2次
hippocampus, : 2次
stay. : 2次
ingrain : 2次
fascination : 2次
capacity, : 2次
highlights : 2次
procedure, : 2次
partner. : 2次
perpetuated, : 2次
fosters : 2次
commonness. : 2次
wordsworth’s : 2次
mechanical : 2次
decisiveness : 2次
fantastic : 2次
activates : 2次
minds : 2次
prevents : 2次
maintains : 2次
shell : 2次
$30 : 2次
kit : 2次
(ptk) : 2次
drugstore : 2次
$120 : 2次
purchased : 2次
ptks : 2次
prescriptions : 2次
dollars : 2次
popular: : 2次
adopted : 2次
relatives : 2次
cells : 2次
observers : 2次
false : 2次
precision : 2次
hawked : 2次
centuries : 2次
lump : 2次
uses : 2次
___________. : 2次
parent-child : 2次
distant : 2次
rebuild : 2次
fors : 2次
againsts : 2次
lab : 2次
priorities : 2次
consistently : 2次
trained : 2次
radically : 2次
japan : 2次
95 : 2次
didn't : 2次
food. : 2次
productive : 2次
pushed : 2次
constrain : 2次
groundless : 2次
fallen : 2次
victim : 2次
bias : 2次
downgraded : 2次
overestimated : 2次
disciplined : 2次
seventeenth-century : 2次
preoccupations : 2次
unfolding, : 2次
adjusting : 2次
settlers : 2次
extensively, : 2次
audiences, : 2次
forget : 2次
told : 2次
wonders : 2次
explaining : 2次
fish. : 2次
benefited : 2次
endeavors. : 2次
pursuits : 2次
peaceful : 2次
abandoned : 2次
troubled : 2次
frustrated : 2次
earnings : 2次
engaged : 2次
illusory : 2次
groundbreaking : 2次
naturalist : 2次
1900s : 2次
german-born : 2次
emphasized : 2次
direction : 2次
stage : 2次
diffusionism. : 2次
few, : 2次
émile : 2次
innovations, : 2次
inventions, : 2次
linguistics, : 2次
biology : 2次
races : 2次
entrance : 2次
thus, : 2次
kinship, : 2次
grafton : 2次
elliot : 2次
smith : 2次
w. : 2次
perry : 2次
incorrectly : 2次
suggested, : 2次
farming, : 2次
pottery : 2次
metallurgy : 2次
developments : 2次
occurred : 2次
enlarging : 2次
experience; : 2次
motive. : 2次
noted, : 2次
young, : 2次
disposition, : 2次
adults. : 2次
distinguish, : 2次
considering, : 2次
schooling. : 2次
1.【答案】[b] : 2次
倾向， : 2次
万人购买了 : 2次
文中没有提及。 : 2次
encouraged : 2次
文中没有提及；[c] : 2次
的theory : 2次
【答案】[e] : 2次
本篇文章节选自john : 2次
dewey的专著democracy : 2次
【结构分析】本句主干是 : 2次
pressing : 2次
granted, : 2次
disposable : 2次
yours， : 2次
译文： : 2次
构思与评析： : 2次
morning. : 2次
dated : 2次
july : 2次
wishes : 2次
reply. : 2次
properly : 2次
drawing, : 2次
respects. : 2次
sides, : 2次
disadvantages, : 2次
outweigh : 2次
purposes : 2次
gregory : 2次
cochran : 2次
popularize : 2次
diseases : 2次
suggested. : 2次
nasty : 2次
previously : 2次
scoring : 2次
fortunes : 2次
valuing : 2次
ahead : 2次
susceptible : 2次
anxiety : 2次
york’s : 2次
trigger : 2次
responses : 2次
males. : 2次
tolerating : 2次
chronic : 2次
repeated : 2次
paycheck : 2次
paycheck.” : 2次
alvarez’s : 2次
demonstrates : 2次
threatens : 2次
confront : 2次
6, : 2次
salary : 2次
jobs. : 2次
stress: : 2次
journal. : 2次
subscribe : 2次
government-funded : 2次
reality. : 2次
co-operation : 2次
report, : 2次
heavy : 2次
signals : 2次
oecd : 2次
subscribers : 2次
introduces : 2次
brings : 2次
model, : 2次
posing : 2次
service. : 2次
wilt : 2次
chamberlain : 2次
feet. : 2次
taller : 2次
diet : 2次
height. : 2次
hasn’t : 2次
upright : 2次
predict : 2次
plays : 2次
52, : 2次
roles : 2次
generation. : 2次
“like : 2次
handed : 2次
approximately : 2次
bravery : 2次
soldiers : 2次
will. : 2次
earlier, : 2次
washington’s : 2次
sharpening : 2次
write. : 2次
spelling : 2次
paper, : 2次
p : 2次
dropped : 2次
sammy : 2次
attitudes : 2次
versions : 2次
paper. : 2次
connect : 2次
confusing : 2次
final : 2次
thesis, : 2次
assemble : 2次
lengel’s : 2次
discover : 2次
forcing : 2次
intently : 2次
enabling : 2次
observations. : 2次
asserted, : 2次
abstract : 2次
limited, : 2次
mathematics. : 2次
poetry. : 2次
founded : 2次
observer, : 2次
humbly : 2次
“superior : 2次
noticing : 2次
carefully.” : 2次
intellect, : 2次
bob, : 2次
7.【答案】[b] : 2次
superior : 2次
soon : 2次
compensate : 2次
trouble. : 2次
commerce : 2次
catholicism : 2次
everything. : 2次
mixed : 2次
fears : 2次
[c], : 2次
player : 2次
cup : 2次
elite : 2次
teams : 2次
above. : 2次
ericsson, : 2次
switched : 2次
determined, : 2次
memorizing : 2次
exhibit : 2次
entails : 2次
gather : 2次
biographical : 2次
success. : 2次
recorded. : 2次
verbal : 2次
numerical : 2次
visualize : 2次
children’s : 2次
costing : 2次
analytical : 2次
components : 2次
leadership : 2次
sat : 2次
indicator : 2次
date. : 2次
middle-class : 2次
economics. : 2次
setback : 2次
earner : 2次
laid : 2次
disability : 2次
retirement : 2次
guaranteed : 2次
health-savings : 2次
families’ : 2次
healthcare. : 2次
parent : 2次
assistance : 2次
fallout : 2次
rains : 2次
bosses : 2次
feeble : 2次
stanford : 2次
destroy : 2次
penalty : 2次
“it : 2次
fierce : 2次
link : 2次
headings : 2次
kids’ : 2次
authentic : 2次
discussions : 2次
disappointed : 2次
discipline : 2次
older : 2次
establish : 2次
realities : 2次
furthermore, : 2次
occur : 2次
preferable : 2次
convenient : 2次
enables : 2次
procedures : 2次
witnessed : 2次
dreams.s，confidence : 2次
homelessness : 2次
independence, : 2次
programs, : 2次
wage, : 2次
housing. : 2次
agrees : 2次
ill, : 2次
zlotkowski, : 2次
bentley : 2次
massachusetts, : 2次
deal.” : 2次
strolling : 2次
maintenance : 2次
supervision : 2次
manipulation : 2次
regulation : 2次
absorbed : 2次
consumption” : 2次
19th-century : 2次
arrays : 2次
elegant : 2次
atmosphere. : 2次
homogenization. : 2次
poisonous. : 2次
rodriguez : 2次
1990 : 2次
census : 2次
fifteen : 2次
spoke : 2次
residence.” : 2次
foreign-born : 2次
asians : 2次
hispanics : 2次
rates : 2次
intermarriage : 2次
whites : 2次
blacks.” : 2次
arnold : 2次
divisive : 2次
pockets : 2次
seething : 2次
anger : 2次
america? : 2次
past, : 2次
deteriorating : 2次
assimilating : 2次
owed : 2次
constitute : 2次
public’s : 2次
immigrants. : 2次
branches. : 2次
revenue. : 2次
frankly : 2次
rsc’s : 2次
ironic : 2次
streams : 2次
separate. : 2次
warwick : 2次
blenheim : 2次
stratford. : 2次
contends, : 2次
(some : 2次
nights) : 2次
restaurants. : 2次
nightfall. : 2次
traditionally. : 2次
expensive. : 2次
row. : 2次
1,431 : 2次
94 : 2次
they’ll : 2次
better.) : 2次
reason, : 2次
alike : 2次
(though : 2次
pointed, : 2次
faces, : 2次
wearing : 2次
jeans : 2次
sandals, : 2次
buns : 2次
bedding : 2次
flagstones : 2次
standing-room : 2次
tickets : 2次
sleepers : 2次
box : 2次
10:30 : 2次
sympathetic : 2次
extinct. : 2次
survived. : 2次
game, : 2次
hunted : 2次
extinction. : 2次
seas : 2次
overfished : 2次
ransom : 2次
boris : 2次
matter) : 2次
(animals : 2次
animals) : 2次
80% : 2次
exploitation. : 2次
long-fished : 2次
halved : 2次
improved. : 2次
satellites : 2次
sonar, : 2次
sharks : 2次
biologists, : 2次
maximum : 2次
cropped : 2次
levels. : 2次
extinction : 2次
fast-growing : 2次
worm’s : 2次
catch-sizes : 2次
somewhere : 2次
meaningless, : 2次
phony : 2次
daffodils : 2次
flowers : 2次
evil. : 2次
massacre : 2次
innocents. : 2次
ideology. : 2次
exhausted, : 2次
bummer : 2次
westerner : 2次
commercial, : 2次
happy. : 2次
smiling, : 2次
disappointment. : 2次
did, : 2次
memento : 2次
mori: : 2次
die, : 2次
ends, : 2次
air. : 2次
disappointment : 2次
replaces : 2次
ends : 2次
flourishes : 2次
inclined : 2次
$20 : 2次
slot : 2次
confined : 2次
